pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL
"""TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest"" pathway"	R-HSA-6804114	 Reactome	 hsapiens	 18	 38	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6804114
"""TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain"" pathway"	R-HSA-6804115	 Reactome	 hsapiens	 23	 96	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6804115
"""TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest"" pathway"	R-HSA-6804116	 Reactome	 hsapiens	 14	 35	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6804116
"""Regulation of TP53 Expression"" pathway"	R-HSA-6804754	 Reactome	 hsapiens	 2	 2	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6804754
"""Regulation of TP53 Activity through Phosphorylation"" pathway"	R-HSA-6804756	 Reactome	 hsapiens	 95	 975	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6804756
"""Regulation of TP53 Degradation"" pathway"	R-HSA-6804757	 Reactome	 hsapiens	 41	 247	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6804757
"""Regulation of TP53 Activity through Acetylation"" pathway"	R-HSA-6804758	 Reactome	 hsapiens	 39	 375	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6804758
"""Regulation of TP53 Activity through Association with Co-factors"" pathway"	R-HSA-6804759	 Reactome	 hsapiens	 16	 27	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6804759
"""Regulation of TP53 Activity through Methylation"" pathway"	R-HSA-6804760	 Reactome	 hsapiens	 23	 72	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6804760
"""Keratinization"" pathway"	R-HSA-6805567	 Reactome	 hsapiens	 138	 1528	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6805567
"""Regulation of TP53 Expression and Degradation"" pathway"	R-HSA-6806003	 Reactome	 hsapiens	 42	 249	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6806003
"""Metabolism of fat-soluble vitamins"" pathway"	R-HSA-6806667	 Reactome	 hsapiens	 89	 1164	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6806667
"""Signaling by MET"" pathway"	R-HSA-6806834	 Reactome	 hsapiens	 75	 594	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6806834
"""MET Receptor Activation"" pathway"	R-HSA-6806942	 Reactome	 hsapiens	 9	 20	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6806942
"""Negative regulation of MET activity"" pathway"	R-HSA-6807004	 Reactome	 hsapiens	 25	 157	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6807004
"""Bloch pathway"" pathway"	R-HSA-6807047	 Reactome	 hsapiens	 14	 43	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6807047
"""Kandutsch-Russell pathway"" pathway"	R-HSA-6807062	 Reactome	 hsapiens	 14	 43	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6807062
"""PTEN Regulation"" pathway"	R-HSA-6807070	 Reactome	 hsapiens	 150	 2271	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6807070
"""RNA polymerase II transcribes snRNA genes"" pathway"	R-HSA-6807505	 Reactome	 hsapiens	 80	 4481	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6807505
"""COPI-mediated anterograde transport"" pathway"	R-HSA-6807878	 Reactome	 hsapiens	 88	 2926	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6807878
"""Formation of the cornified envelope"" pathway"	R-HSA-6809371	 Reactome	 hsapiens	 84	 800	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6809371
"""COPI-dependent Golgi-to-ER retrograde traffic"" pathway"	R-HSA-6811434	 Reactome	 hsapiens	 88	 1842	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6811434
"""COPI-independent Golgi-to-ER retrograde traffic"" pathway"	R-HSA-6811436	 Reactome	 hsapiens	 44	 849	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6811436
"""Intra-Golgi traffic"" pathway"	R-HSA-6811438	 Reactome	 hsapiens	 48	 444	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6811438
"""Retrograde transport at the Trans-Golgi-Network"" pathway"	R-HSA-6811440	 Reactome	 hsapiens	 55	 850	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6811440
"""Intra-Golgi and retrograde Golgi-to-ER traffic"" pathway"	R-HSA-6811442	 Reactome	 hsapiens	 199	 3901	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6811442
"""PI5P Regulates TP53 Acetylation"" pathway"	R-HSA-6811555	 Reactome	 hsapiens	 17	 72	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6811555
"""PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"" pathway"	R-HSA-6811558	 Reactome	 hsapiens	 117	 1584	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6811558
"""Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding"" pathway"	R-HSA-6814122	 Reactome	 hsapiens	 41	 349	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6814122
"""Glycerophospholipid catabolism"" pathway"	R-HSA-6814848	 Reactome	 hsapiens	 18	 47	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6814848
"""Assembly of the ORC complex at the origin of replication"" pathway"	R-HSA-68616	 Reactome	 hsapiens	 6	 15	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68616
"""CDC6 association with the ORC:origin complex"" pathway"	R-HSA-68689	 Reactome	 hsapiens	 11	 31	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68689
"""CDT1 association with the CDC6:ORC:origin complex"" pathway"	R-HSA-68827	 Reactome	 hsapiens	 59	 1260	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68827
"""Assembly of the pre-replicative complex"" pathway"	R-HSA-68867	 Reactome	 hsapiens	 68	 1332	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68867
"""Mitotic Prophase"" pathway"	R-HSA-68875	 Reactome	 hsapiens	 128	 2367	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68875
"""Mitotic Prometaphase"" pathway"	R-HSA-68877	 Reactome	 hsapiens	 194	 9672	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68877
"""Mitotic Metaphase/Anaphase Transition"" pathway"	R-HSA-68881	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68881
"""Mitotic Anaphase"" pathway"	R-HSA-68882	 Reactome	 hsapiens	 247	 8736	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68882
"""cell division"" pathway"	R-HSA-68884	 Reactome	 hsapiens	 15	 53	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68884
"""M Phase"" pathway"	R-HSA-68886	 Reactome	 hsapiens	 409	 15315	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68886
"""G2 Phase"" pathway"	R-HSA-68911	 Reactome	 hsapiens	 7	 29	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68911
"""Orc1 removal from chromatin"" pathway"	R-HSA-68949	 Reactome	 hsapiens	 73	 1438	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68949
"""DNA replication initiation"" pathway"	R-HSA-68952	 Reactome	 hsapiens	 16	 124	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68952
"""Activation of the pre-replicative complex"" pathway"	R-HSA-68962	 Reactome	 hsapiens	 36	 525	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-68962
"""DNA Replication Pre-Initiation"" pathway"	R-HSA-69002	 Reactome	 hsapiens	 88	 1751	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69002
"""CDK-mediated phosphorylation and removal of Cdc6"" pathway"	R-HSA-69017	 Reactome	 hsapiens	 75	 1511	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69017
"""Switching of origins to a post-replicative state"" pathway"	R-HSA-69052	 Reactome	 hsapiens	 93	 1765	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69052
"""Polymerase switching"" pathway"	R-HSA-69091	 Reactome	 hsapiens	 16	 92	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69091
"""Leading Strand Synthesis"" pathway"	R-HSA-69109	 Reactome	 hsapiens	 16	 92	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69109
"""Removal of the Flap Intermediate"" pathway"	R-HSA-69166	 Reactome	 hsapiens	 18	 139	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69166
"""Processive synthesis on the lagging strand"" pathway"	R-HSA-69183	 Reactome	 hsapiens	 18	 159	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69183
"""Lagging Strand Synthesis"" pathway"	R-HSA-69186	 Reactome	 hsapiens	 25	 215	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69186
"""DNA strand elongation"" pathway"	R-HSA-69190	 Reactome	 hsapiens	 36	 270	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69190
"""Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes"" pathway"	R-HSA-69200	 Reactome	 hsapiens	 6	 22	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69200
"""Cyclin E associated events during G1/S transition"" pathway"	R-HSA-69202	 Reactome	 hsapiens	 87	 1843	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69202
"""G1/S-Specific Transcription"" pathway"	R-HSA-69205	 Reactome	 hsapiens	 28	 128	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69205
"""G1/S Transition"" pathway"	R-HSA-69206	 Reactome	 hsapiens	 135	 2493	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69206
"""Cyclin D associated events in G1"" pathway"	R-HSA-69231	 Reactome	 hsapiens	 51	 423	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69231
"""G1 Phase"" pathway"	R-HSA-69236	 Reactome	 hsapiens	 51	 423	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69236
"""Synthesis of DNA"" pathway"	R-HSA-69239	 Reactome	 hsapiens	 132	 2165	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69239
"""S Phase"" pathway"	R-HSA-69242	 Reactome	 hsapiens	 178	 3270	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69242
"""Cyclin A/B1/B2 associated events during G2/M transition"" pathway"	R-HSA-69273	 Reactome	 hsapiens	 32	 195	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69273
"""G2/M Transition"" pathway"	R-HSA-69275	 Reactome	 hsapiens	 191	 6039	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69275
"""Cell Cycle, Mitotic"" pathway"	R-HSA-69278	 Reactome	 hsapiens	 564	 22491	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69278
"""DNA Replication"" pathway"	R-HSA-69306	 Reactome	 hsapiens	 141	 2591	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69306
"""Dimerization of procaspase-8"" pathway"	R-HSA-69416	 Reactome	 hsapiens	 11	 36	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69416
"""G2/M DNA damage checkpoint"" pathway"	R-HSA-69473	 Reactome	 hsapiens	 81	 1473	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69473
"""G2/M DNA replication checkpoint"" pathway"	R-HSA-69478	 Reactome	 hsapiens	 7	 23	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69478
"""G2/M Checkpoints"" pathway"	R-HSA-69481	 Reactome	 hsapiens	 154	 3062	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69481
"""Stabilization of p53"" pathway"	R-HSA-69541	 Reactome	 hsapiens	 59	 1299	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69541
"""Transcriptional activation of p53 responsive genes"" pathway"	R-HSA-69560	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69560
"""p53-Dependent G1 DNA Damage Response"" pathway"	R-HSA-69563	 Reactome	 hsapiens	 68	 1329	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69563
"""p53-Dependent G1/S DNA damage checkpoint"" pathway"	R-HSA-69580	 Reactome	 hsapiens	 68	 1329	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69580
"""Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"" pathway"	R-HSA-69601	 Reactome	 hsapiens	 54	 1232	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69601
"""p53-Independent DNA Damage Response"" pathway"	R-HSA-69610	 Reactome	 hsapiens	 54	 1232	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69610
"""p53-Independent G1/S DNA damage checkpoint"" pathway"	R-HSA-69613	 Reactome	 hsapiens	 54	 1232	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69613
"""G1/S DNA Damage Checkpoints"" pathway"	R-HSA-69615	 Reactome	 hsapiens	 70	 1388	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69615
"""Mitotic Spindle Checkpoint"" pathway"	R-HSA-69618	 Reactome	 hsapiens	 111	 4560	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69618
"""Cell Cycle Checkpoints"" pathway"	R-HSA-69620	 Reactome	 hsapiens	 278	 7827	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69620
"""Cyclin A:Cdk2-associated events at S phase entry"" pathway"	R-HSA-69656	 Reactome	 hsapiens	 89	 1851	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69656
"""Transcriptional  activation of  cell cycle inhibitor p21"" pathway"	R-HSA-69895	 Reactome	 hsapiens	 4	 6	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69895
"""Glycolysis"" pathway"	R-HSA-70171	 Reactome	 hsapiens	 104	 1073	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70171
"""Glycogen breakdown (glycogenolysis)"" pathway"	R-HSA-70221	 Reactome	 hsapiens	 26	 105	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70221
"""Gluconeogenesis"" pathway"	R-HSA-70263	 Reactome	 hsapiens	 66	 341	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70263
"""Pyruvate metabolism"" pathway"	R-HSA-70268	 Reactome	 hsapiens	 56	 525	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70268
"""Glucose metabolism"" pathway"	R-HSA-70326	 Reactome	 hsapiens	 134	 1475	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70326
"""Fructose catabolism"" pathway"	R-HSA-70350	 Reactome	 hsapiens	 20	 63	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70350
"""Galactose catabolism"" pathway"	R-HSA-70370	 Reactome	 hsapiens	 15	 36	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70370
"""Urea cycle"" pathway"	R-HSA-70635	 Reactome	 hsapiens	 32	 126	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70635
"""Proline catabolism"" pathway"	R-HSA-70688	 Reactome	 hsapiens	 14	 39	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70688
"""Branched-chain amino acid catabolism"" pathway"	R-HSA-70895	 Reactome	 hsapiens	 58	 455	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70895
"""Histidine catabolism"" pathway"	R-HSA-70921	 Reactome	 hsapiens	 30	 70	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70921
"""Propionyl-CoA catabolism"" pathway"	R-HSA-71032	 Reactome	 hsapiens	 14	 39	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71032
"""Lysine catabolism"" pathway"	R-HSA-71064	 Reactome	 hsapiens	 44	 199	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71064
"""Tryptophan catabolism"" pathway"	R-HSA-71240	 Reactome	 hsapiens	 48	 170	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71240
"""Carnitine synthesis"" pathway"	R-HSA-71262	 Reactome	 hsapiens	 20	 82	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71262
"""Creatine metabolism"" pathway"	R-HSA-71288	 Reactome	 hsapiens	 25	 80	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71288
"""Amino acid and derivative metabolism"" pathway"	R-HSA-71291	 Reactome	 hsapiens	 656	 10631	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71291
"""Pentose phosphate pathway"" pathway"	R-HSA-71336	 Reactome	 hsapiens	 46	 222	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71336
"""Ethanol oxidation"" pathway"	R-HSA-71384	 Reactome	 hsapiens	 28	 135	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71384
"""Carbohydrate metabolism"" pathway"	R-HSA-71387	 Reactome	 hsapiens	 443	 4198	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71387
"""Citric acid cycle (TCA cycle)"" pathway"	R-HSA-71403	 Reactome	 hsapiens	 50	 364	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71403
"""Pyruvate metabolism and Citric Acid (TCA) cycle"" pathway"	R-HSA-71406	 Reactome	 hsapiens	 97	 1030	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-71406
"""mRNA Capping"" pathway"	R-HSA-72086	 Reactome	 hsapiens	 35	 820	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72086
"""pre-mRNA splicing"" pathway"	R-HSA-72163	 Reactome	 hsapiens	 180	 16604	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72163
"""U12 Dependent Splicing"" pathway"	R-HSA-72165	 Reactome	 hsapiens	 52	 1326	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72165
"""mRNA Splicing"" pathway"	R-HSA-72172	 Reactome	 hsapiens	 188	 16984	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72172
"""mRNA 3'-end processing"" pathway"	R-HSA-72187	 Reactome	 hsapiens	 58	 1913	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72187
"""mRNA Editing: C to U Conversion"" pathway"	R-HSA-72200	 Reactome	 hsapiens	 10	 45	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72200
"""Transport of Mature Transcript to Cytoplasm"" pathway"	R-HSA-72202	 Reactome	 hsapiens	 86	 4824	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72202
"""Processing of Capped Intron-Containing Pre-mRNA"" pathway"	R-HSA-72203	 Reactome	 hsapiens	 244	 22021	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72203
"""tRNA processing"" pathway"	R-HSA-72306	 Reactome	 hsapiens	 134	 949	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72306
"""rRNA processing"" pathway"	R-HSA-72312	 Reactome	 hsapiens	 211	 8276	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72312
"""Eukaryotic Translation Initiation"" pathway"	R-HSA-72613	 Reactome	 hsapiens	 125	 5823	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72613
"""Translation initiation complex formation"" pathway"	R-HSA-72649	 Reactome	 hsapiens	 60	 1766	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72649
"""Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"" pathway"	R-HSA-72662	 Reactome	 hsapiens	 64	 1801	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72662
"""Formation of a pool of free 40S subunits"" pathway"	R-HSA-72689	 Reactome	 hsapiens	 102	 4399	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72689
"""Formation of the ternary complex, and subsequently, the 43S complex"" pathway"	R-HSA-72695	 Reactome	 hsapiens	 53	 1377	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72695
"""Ribosomal scanning and start codon recognition"" pathway"	R-HSA-72702	 Reactome	 hsapiens	 62	 1947	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72702
"""GTP hydrolysis and joining of the 60S ribosomal subunit"" pathway"	R-HSA-72706	 Reactome	 hsapiens	 116	 5482	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72706
"""Recycling of eIF2:GDP"" pathway"	R-HSA-72731	 Reactome	 hsapiens	 10	 64	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72731
"""Cap-dependent Translation Initiation"" pathway"	R-HSA-72737	 Reactome	 hsapiens	 125	 5797	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72737
"""Eukaryotic Translation Termination"" pathway"	R-HSA-72764	 Reactome	 hsapiens	 102	 4846	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72764
"""Translation"" pathway"	R-HSA-72766	 Reactome	 hsapiens	 329	 16833	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72766
"""Pyrimidine salvage"" pathway"	R-HSA-73614	 Reactome	 hsapiens	 34	 153	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73614
"""Pyrimidine catabolism"" pathway"	R-HSA-73621	 Reactome	 hsapiens	 51	 325	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73621
"""RNA Polymerase I Promoter Opening"" pathway"	R-HSA-73728	 Reactome	 hsapiens	 34	 322	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73728
"""RNA Polymerase I Transcription Initiation"" pathway"	R-HSA-73762	 Reactome	 hsapiens	 49	 650	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73762
"""RNA Polymerase I Promoter Escape"" pathway"	R-HSA-73772	 Reactome	 hsapiens	 64	 957	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73772
"""RNA Polymerase II Promoter Escape"" pathway"	R-HSA-73776	 Reactome	 hsapiens	 53	 2331	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73776
"""RNA Polymerase II Transcription Pre-Initiation And Promoter Opening"" pathway"	R-HSA-73779	 Reactome	 hsapiens	 47	 1079	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73779
"""RNA Polymerase III Chain Elongation"" pathway"	R-HSA-73780	 Reactome	 hsapiens	 22	 224	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73780
"""Purine ribonucleoside monophosphate biosynthesis"" pathway"	R-HSA-73817	 Reactome	 hsapiens	 49	 294	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73817
"""RNA Polymerase I Promoter Clearance"" pathway"	R-HSA-73854	 Reactome	 hsapiens	 86	 1237	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73854
"""RNA Polymerase II Transcription Termination"" pathway"	R-HSA-73856	 Reactome	 hsapiens	 67	 1918	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73856
"""RNA Polymerase II Transcription"" pathway"	R-HSA-73857	 Reactome	 hsapiens	 1398	 20979	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73857
"""RNA Polymerase I Transcription Termination"" pathway"	R-HSA-73863	 Reactome	 hsapiens	 31	 465	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73863
"""RNA Polymerase I Transcription"" pathway"	R-HSA-73864	 Reactome	 hsapiens	 87	 1296	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73864
"""Base Excision Repair"" pathway"	R-HSA-73884	 Reactome	 hsapiens	 97	 1052	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73884
